Category,Brand ,Name ,Type ,Color,Length,Diameter,Load Capacity,Rating (Stars),Player Level, Price 
Lines,Express Fishing ,Super Line - 1.5lb,Nylon monofilament ,Transparent ,120m,0.10mm,700g,1,1,  6.00 
Lines,Express Fishing ,Super Line - 3lb,Nylon monofilament ,Transparent ,120m,0.14mm,1.5kg,1,1,  4.50 
Lines,Express Fishing ,Super Line - 5lb,Nylon monofilament ,Transparent ,120m,0.18mm,2.3kg,1,1,  4.00 
Lines,Express Fishing ,Super Line - 7lb,Nylon monofilament ,Transparent ,120m,0.20mm,3.1kg,1,1,  4.00 
Lines,Express Fishing ,Super Line - 8.5lb,Nylon monofilament ,Transparent ,120m,0.24mm,3.9kg,1,1,  4.00 
Lines,Express Fishing ,Super Line - 10lb,Nylon monofilament ,Transparent ,120m,0.26mm,4.8kg,1,1,  4.00 
Lines,Express Fishing ,Super Line - 12lb,Nylon monofilament ,Transparent ,120m,0.28mm,5.6kg,1,1,  4.50 
Lines,Express Fishing ,Super Line - 16.5lb,Nylon monofilament ,Transparent ,120m,0.32mm,7.5kg,1,1,  5.00 
Lines,Express Fishing ,Super Line - 20lb,Nylon monofilament ,Transparent ,120m,0.37mm,9.3kg,1,1,  5.80 
Lines,Express Fishing ,Super Line - 24lb,Nylon monofilament ,Transparent ,120m,0.40mm,11kg,1,1,  6.00 
Lines,Syberia,Indiana - 3.5lb 100m Green,Nylon monofilament ,Light Green,100m,0.14mm,1.7kg,2.5,1,  15.50 
Lines,Syberia,Indiana - 5lb 100m Green,Nylon monofilament ,Light Green,100m,0.16mm,2.1kg,2.5,1,  13.90 
Lines,Syberia,Indiana - 8lb 100m Green,Nylon monofilament ,Light Green,100m,0.19mm,3.5kg,2.5,1,  12.80 
Lines,Syberia,Indiana - 11lb 100m Green,Nylon monofilament ,Light Green,100m,0.22mm,5kg,2.5,1,  12.60 
Lines,Syberia,Indiana - 16lb 100m Green,Nylon monofilament ,Light Green,100m,0.27mm,7.5kg,2.5,1,  13.50 
Lines,Syberia,Indiana - 23lb 100m Green,Nylon monofilament ,Light Green,100m,0.32mm,10.5kg,2.5,1,  14.90 
Lines,Syberia,Indiana - 28lb 100m Green,Nylon monofilament ,Light Green,100m,0.38mm,13kg,2.5,1,  14.90 
Lines,Syberia,Indiana - 35lb 100m Green,Nylon monofilament ,Light Green,100m,0.45mm,16kg,2.5,1,  15.10 
Lines,Syberia,Indiana - 3.5lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.14mm,1.7kg,2.5,1,  15.50 
Lines,Syberia,Indiana - 5lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.16mm,2.1kg,2.5,1,  13.90 
Lines,Syberia,Indiana - 8lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.19mm,3.5kg,2.5,1,  12.80 
Lines,Syberia,Indiana - 11lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.22mm,5kg,2.5,1,  12.60 
Lines,Syberia,Indiana - 16lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.27mm,7.5kg,2.5,1,  13.50 
Lines,Syberia,Indiana - 23lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.32mm,10.5kg,2.5,1,  14.90 
Lines,Syberia,Indiana - 28lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.38mm,13kg,2.5,1,  14.90 
Lines,Syberia,Indiana - 35lb 100m Trns,Nylon monofilament ,Transparent ,100m,0.45mm,16kg,2.5,1,  15.10 
Lines,Simmons,Mono Original - 2.5lb Gray XL,Nylon monofilament ,Gray,100m,0.09mm,1.2kg,4,5,  27.80 
Lines,Simmons,Mono Original - 4lb Gray XL,Nylon monofilament ,Gray,100m,0.12mm,1.8kg,4,5,  26.80 
Lines,Simmons,Mono Original - 5lb Gray XL,Nylon monofilament ,Gray,100m,0.15mm,2.3kg,4,5,  25.80 
Lines,Simmons,Mono Original - 7.5lb Gray XL,Nylon monofilament ,Gray,100m,0.18mm,3.4kg,4,5,  24.80 
Lines,Simmons,Mono Original - 11.5lb Gray XL,Nylon monofilament ,Gray,100m,0.21mm,5.2kg,4,5,  22.80 
Lines,Simmons,Mono Original - 15lb Gray XL,Nylon monofilament ,Gray,100m,0.25mm,6.8kg,4,5,  22.80 
Lines,Simmons,Mono Original - 18lb Gray XL,Nylon monofilament ,Gray,100m,0.28mm,8kg,4,5,  22.80 
Lines,Simmons,Mono Original - 25lb Gray XL,Nylon monofilament ,Gray,100m,0.33mm,11.5kg,4,5,  22.80 
Lines,Simmons,Mono Original - 32lb Gray XL,Nylon monofilament ,Gray,100m,0.40mm,14.5kg,4,5,  23.80 
Lines,Simmons,Mono Original - 40lb Gray XL,Nylon monofilament ,Gray,100m,0.48mm,18kg,4,5,  25.80 
Lines,Simmons,Mono Original - 55lb Gray XL,Nylon monofilament ,Gray,100m,0.60mm,25kg,4,5,  28.80 
Lines,Simmons,Mono Original - 80lb Gray XL,Nylon monofilament ,Gray,100m,0.85mm,36kg,4,5,  29.80 
Lines,Simmons,Mono Original - 2.5lb White XL,Nylon monofilament ,White,100m,0.09mm,1.2kg,4,5,  27.80 
Lines,Simmons,Mono Original - 4lb White XL,Nylon monofilament ,White,100m,0.12mm,1.8kg,4,5,  26.80 
Lines,Simmons,Mono Original - 5lb White XL,Nylon monofilament ,White,100m,0.15mm,2.3kg,4,5,  25.80 
Lines,Simmons,Mono Original - 7.5lb White XL,Nylon monofilament ,White,100m,0.18mm,3.4kg,4,5,  24.80 
Lines,Simmons,Mono Original - 11.5lb White XL,Nylon monofilament ,White,100m,0.21mm,5.2kg,4,5,  22.80 
Lines,Simmons,Mono Original - 15lb White XL,Nylon monofilament ,White,100m,0.25mm,6.8kg,4,5,  22.80 
Lines,Simmons,Mono Original - 18lb White XL,Nylon monofilament ,White,100m,0.28mm,8kg,4,5,  22.80 
Lines,Simmons,Mono Original - 25lb White XL,Nylon monofilament ,White,100m,0.33mm,11.5kg,4,5,  22.80 
Lines,Simmons,Mono Original - 32lb White XL,Nylon monofilament ,White,100m,0.40mm,14.5kg,4,5,  23.80 
Lines,Simmons,Mono Original - 40lb White XL,Nylon monofilament ,White,100m,0.48mm,18kg,4,5,  25.80 
Lines,Simmons,Mono Original - 55lb White XL,Nylon monofilament ,White,100m,0.60mm,25kg,4,5,  28.80 
Lines,Simmons,Mono Original - 80lb White XL,Nylon monofilament ,White,100m,0.85mm,36kg,4,5,  29.80 
Lines,Simmons,Mono SS - 3lb Blue,Nylon monofilament ,Blue,100m,0.08mm,1.4kg,4,10,  38.80 
Lines,Simmons,Mono SS - 4.5lb Blue,Nylon monofilament ,Blue,100m,0.11mm,2kg,4,10,  36.80 
Lines,Simmons,Mono SS - 6.5lb Blue,Nylon monofilament ,Blue,100m,0.15mm,3kg,4,10,  34.80 
