Rod,Type,Lvl,LT,HT,Action,Stiffness,Power,Length,Max Load,Cost,Stars,Bonus,Bonus 2,Bonus 3,Bonus 4,Bonus 5,Bonus 6,Bonus 7,Bonus 8
Sensiv Bolognese II SB13,Bolognese,1,5,20,Slow,1,Medium,4,3.8,58.9,0.5,,,,,,,,
Sensiv Bolognese II SB16,Bolognese,1,5,20,Slow,1,Medium,5,3.8,64.8,0.5,,,,,,,,
Sensiv Bolognese II SB23,Bolognese,1,5,20,Slow,1,Medium,7,3.8,70.9,0.5,,,,,,,,
Siren Bolognese SB13,Bolognese,3,4,40,Medium,3,Medium,4,5.3,133,1,,,,,,,,
Siren Bolognese SB20,Bolognese,3,4,40,Medium,3,Medium,6,5.3,148,1,,,,,,,,
S-Eagle Bolognese SB15,Bolognese,6,3,35,Medium,4,Medium,4.5,6.2,175,1.5,,,,,,,,
S-Eagle Bolognese SB20,Bolognese,6,3,35,Medium,4,Medium,6,6.2,184,1.5,,,,,,,,
S-Eagle Bolognese SB25,Bolognese,6,3,35,Medium,4,Medium,7.5,6.2,199,1.5,,,,,,,,
KingMaster Bolognese KB16,Bolognese,8,5,40,Fast,6,Medium,5,6.2,352,2.5,,,,,,,,
KingMaster Bolognese KB20,Bolognese,8,5,40,Fast,6,Medium,6,6.2,364,2.5,,,,,,,,
KingMaster Bolognese KB26,Bolognese,8,5,40,Fast,6,Medium,8,6.2,385,2.5,,,,,,,,
Linear Bolognese 400,Bolognese,10,5,35,Fast,5,Medium,4,8.1,455,2.5,,,,,,,,
Linear Bolognese 500,Bolognese,10,5,35,Fast,5,Medium,5,8.1,477,2.5,,,,,,,,
Linear Bolognese 600,Bolognese,10,5,35,Fast,5,Medium,6,8.1,490,2.5,,,,,,,,
Linear Bolognese 700,Bolognese,10,5,35,Fast,5,Medium,7,8.1,511,2.5,,,,,,,,
Genius Bolognese 400,Bolognese,12,3,24,Fast,5,Medium Light,4,4.9,642,3,ML - 25% Bonus to XP,,,,,,,
Genius Bolognese 600,Bolognese,12,3,24,Fast,5,Medium Light,6,4.9,685,3,ML - 25% Bonus to XP,,,,,,,
Fortuna Bolognese 500,Bolognese,14,3,20,Fast,6,Medium Light,5,4.7,817,3.5, +1 to the 'Using a Bolognese rig' ability,ML - 25% Bonus to XP,,,,,,
Fortuna Bolognese 600,Bolognese,14,3,20,Fast,6,Medium Light,6,4.7,859,3.5, +1 to the 'Using a Bolognese rig' ability,ML - 25% Bonus to XP,,,,,,
Fortuna Bolognese 700,Bolognese,14,3,20,Fast,6,Medium Light,7,4.7,899,3.5, +1 to the 'Using a Bolognese rig' ability,ML - 25% Bonus to XP,,,,,,
Mechta Bolognese 5,Bolognese,14,5,35,Fast,5,Medium Heavy,5,10.5,979.5,3,,,,,,,,
Mechta Bolognese 6,Bolognese,14,5,35,Fast,5,Medium Heavy,6,10.5,1077.2,3,,,,,,,,
Mechta Bolognese 7,Bolognese,14,5,35,Fast,5,Medium Heavy,7,10.5,1098.73,3,,,,,,,,
Model One Bolognese 500,Bolognese,15,4,25,Fast,5,Medium,5,10.3,1276.54,3.5,,,,,,,,
Model One Bolognese 700,Bolognese,15,4,25,Fast,5,Medium,7,10.3,1459.96,3.5,,,,,,,,
Ethnic Bolognese 4,Bolognese,20,4,30,Fast,5,Medium,4,14,1797.65,3.5,,,,,,,,
Heritage BL 500,Bolognese,18,4,20,Medium,4,Medium,5,8,1798.75,3.5, +1 to the 'Using a Bolognese rig' ability,,,,,,,
Heritage BL 600,Bolognese,18,4,20,Medium,4,Medium,6,8,1863.55,3.5, +1 to the 'Using a Bolognese rig' ability,,,,,,,
Ethnic Bolognese 6,Bolognese,20,4,30,Fast,5,Medium,6,14,1918.54,3.5,,,,,,,,
Heritage BL 700,Bolognese,18,4,20,Medium,4,Medium,7,8,1960.38,3.5, +1 to the 'Using a Bolognese rig' ability,,,,,,,
Ethnic Bolognese 8,Bolognese,20,4,30,Fast,5,Medium,8,14,2128.15,3.5,,,,,,,,
Windmaster BL 500,Bolognese,21,3,15,Fast,8,Light,5,7.9,2899.36,4, +1 to the 'Using a Bolognese rig' ability,L - 50% Bonus to XP,,,,,,
