Date,Major Features in Patch,Link To Notes/Vid/etc,Change List
6/17/2025,Rod Holders Added to Elk Lake Boat,https://rf4game.com/forum/index.php?/topic/33485-patchnotes-1706/,Rod Holders Added to Elk Lake Boat
6/16/2025,Elk Lake Added,https://rf4game.com/forum/index.php?/topic/33479-patchnotes-16062025/,Elk Lake Released - 19 New Fish - Added Cards For Elk Lake - Spinnerbaits and Skirted Jigs Added - Many Lures Added
5/25/2025,Elk Lake Map Teaser,https://rf4game.com/forum/index.php?/topic/33406-get-ready-for-a-new-adventure/,Teaser For Elk Lake Map
5/20/2025,"8th Anniversary Challenges - Collectible Cards -  6 New Fish: Alfonsino, Meagre, Ostrog Whitefish, Midori goi, Albino Grass Carp, Black scabbardfish - Chat Weights",https://rf4game.com/forum/index.php?/topic/33396-patchnotes-22052025/,"8th Anniversary Event - Added Back Chat Weights - Added 6 New Fish: Alfonsino, Meagre, Ostrog Whitefish, Midori goi, Albino Grass Carp, Black scabbardfish - Added Collectible Cards - Added New Reels and New Casting Rod - Added Name Change - Added Trophies for Stars and BTs - Added Standalone Password Saving"
2/6/2025,,https://rf4game.com/forum/index.php?/topic/32705-patchnotes-0602/,Bugfix
1/29/2025,Loach added to Mosq,https://rf4game.com/forum/index.php?/topic/32696-patchnotes-3001/,New Years Fair Removed - Added Loach to Mosquito - Various Bug Fixes and Changes
12/28/2024,,https://rf4game.com/forum/index.php?/topic/32643-patchnotes-2812/,Balancing and Bugfixes
12/20/2024,New Years Challenges and Fair - Belaya Update - Minimap - Coords on Pointer,https://rf4game.com/forum/index.php?/topic/32621-patchnotes-2012/,New Years Event - New Years Fair Added - Belaya River Updated - Mosquito Shore Changed - Carp Pop-Up on Float removed and Hair on float changed - Added compass minimap - Added Map Coordinates on Mouse Pointer - Added Record search - Added happy hour display - Various changes and bugfixes
12/13/2024,Belaya Update Teaser,https://discord.com/channels/406518430368399371/445970942552702987/1317098799977726002,Belaya Update Teaser
8/21/2024,,https://rf4game.com/forum/index.php?/topic/32492-patchnotes-2108/,Float line length change - 4000 and 5000 allowed on ML casting rods - Feedmix recipe issue fixed
7/3/2024,,https://rf4game.com/forum/index.php?/topic/32377-patchnotes-04072024/,Romanian Language Added - Bugfixes
7/21/2024,7th Anniversary Challenges,https://rf4game.com/forum/index.php?/topic/32284-7th-anniversary-of-russian-fishing-4-patchnotes/,7th Anniversary Event - Added New Reels - Bugfixes
5/16/2024,Copper Lake Added - Albino Barbel - Zig Rig - Chairs - Rod Pods,https://rf4game.com/forum/index.php?/topic/32226-patchnotes-1605/,Copper Lake Added - Added 13 New Fish: Albino Barbel - Added Water Temp - Added Zig Rig - Added Longer Feeder Leaders for zig - Changed Live Bait Behavior - Added Chairs - Added Rod Pods - Added Light and Bottom Light Records - New Picker Rods Added - Name Change allowed from in game
4/17/2024,Copper Lake Video Teaser,Russian Fishing 4 - Copper Lake Teaser - YouTube,Copper Lake Video Teaser
3/13/2024,Copper Lake Image Teaser,https://discord.com/channels/406518430368399371/445970942552702987/1217442163873550347,Copper Lake Image Teaser
