,,,,
,,,,
Top Links,You can find this spreadsheet at http://www.rf4.fish,,,
KiltedJock's MegaSheet,Update April 2023 RF4 Mega Sheet - Kiltedjock,Sheet Created and Maintained by Itsblunty,Recent Changes to this sheet,Date
RF4 Active Spots Discord,https://discord.gg/SvBvkKXeb6,Discord - itsblunty,"Added the rest of the skills to the ""Skill Trees"" tab",3/28/25
RF4 Official Discord,https://discord.gg/vwbvVqP,RF4 - itsblunty,Added Chinese heat map to Top Links,4/2/25
VK - Spots Sharing (Russian/Need to Use Page Translate),https://vk.com/pp4wikipedia,,Added sheet to start showing new players helpful setups,4/13/25
Image Translator (Use for Screenshots of Foreign GB/PVA/etc),https://translate.yandex.com/ocr,,Added Fish List Sheet with card values,5/30/25
Google Translate Image (Use for Screenshots of Foreign GB/PVA/etc),https://translate.google.com/?sl=ru&tl=en&op=images,,Added Sheet with game update history,6/5/25
RF4 Records Stats Website - Find Baits Here,https://rf4records.com/,,,
Russain RF4 Records Stats Website,https://en.rf4-stat.ru,,"Updated Card Values, Added Star Count, Added Russian Fish Names",6/11/25
RF4 Chinese Heat Map,https://rf4db.com/en,,"Added New Fish on Elk Lake To Sheet, Started Collecting Trophy Weights",6/16/25
RF4 Trophies - VK Posts Translated and Aggregated,http://rf4trophies.com,,,
Chinese RF4 Wiki,https://www.gamekee.com/rf4,,,
RF4 Baitfinder,https://voxin.me/baitfinder.php,,,
,,,,
VK Specific Area Links,,,,
Mosquito Lake,https://vk.com/wall-161310162?q=%23%D0%BA%D0%BE%D0%BC%D0%B0%D1%80%D0%B8%D0%BD%D0%BE%D0%B5,,,
Elk Lake,https://vk.com/wall-161310162?q=%23%D0%BB%D0%BE%D1%81%D0%B8%D0%BD%D0%BE%D0%B5,,,
Winding Rivulet,https://vk.com/wall-161310162?q=%23%D0%B2%D1%8C%D1%8E%D0%BD%D0%BE%D0%BA,,,
Old Burg,https://vk.com/wall-161310162?q=%23%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B3,,,
Belaya,https://vk.com/wall-161310162?q=%23%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F,,,
Kouri Lake,https://vk.com/wall-161310162?q=%23%D0%BA%D1%83%D0%BE%D1%80%D0%B8,,,
Bear Lake,https://vk.com/wall-161310162?q=%23%D0%BC%D0%B5%D0%B4%D0%B2%D0%B5%D0%B6%D1%8C%D0%B5,,,
Volkhov River,https://vk.com/wall-161310162?q=%23%D0%B2%D0%BE%D0%BB%D1%85%D0%BE%D0%B2,,,
Seversky Donets River,https://vk.com/wall-161310162?q=%23%D0%B4%D0%BE%D0%BD%D0%B5%D1%86,,,
Sura River,https://vk.com/wall-161310162?q=%23%D1%81%D1%83%D1%80%D0%B0,,,
Ladoga Lake,https://vk.com/wall-161310162?q=%23%D0%BB%D0%B0%D0%B4%D0%BE%D0%B6%D1%81%D0%BA%D0%BE%D0%B5,,,
The Amber Lake,https://vk.com/wall-161310162?q=%23%D1%8F%D0%BD%D1%82%D0%B0%D1%80%D0%BD%D0%BE%D0%B5,,,
Ladoga Archipelago,https://vk.com/wall-161310162?q=%23%D0%B0%D1%80%D1%85%D0%B8%D0%BF%D0%B5%D0%BB%D0%B0%D0%B3,,,
Akhtuba River,https://vk.com/wall-161310162?q=%23%D0%B0%D1%85%D1%82%D1%83%D0%B1%D0%B0,,,
Copper Lake,https://vk.com/wall-161310162?q=%23%D0%BC%D0%B5%D0%B4%D0%BD%D0%BE%D0%B5,,,
Lower Tunguska River,https://vk.com/wall-161310162?q=%23%D1%82%D1%83%D0%BD%D0%B3%D1%83%D1%81%D0%BA%D0%B0,,,
Yama River,https://vk.com/wall-161310162?q=%23%D1%8F%D0%BC%D0%B0,,,
Norwegian Sea,https://vk.com/wall-161310162?q=%23%D0%BD%D0%BE%D1%80%D0%B2%D0%B5%D0%B6%D1%81%D0%BA%D0%BE%D0%B5,,,
China Hotspots,https://vk.com/rf4chinaspot,,,
China Hotspots,https://vk.com/pp4farmtrof,,,
,,,,
RF4 Staff Guides and Info,(May be Outdated but still contain good information or experience),,,
Repairs,https://rf4game.com/forum/index.php?/topic/885-levos-guide-repairs/,,,
2024 Dev QandA,https://rf4game.com/forum/index.php?/topic/32605-dev-faq-2024/,,,
2023 Dev QandA,https://rf4game.com/forum/index.php?/topic/31019-dev-qa-2023-ru-region-translation/,,,
2022 Dev QandA,https://rf4game.com/forum/index.php?/topic/27621-developer-q-and-a/&tab=comments#comment-60662,,,
2021 Dev FAQ,https://rf4game.com/forum/index.php?/topic/14570-faq-gameplay/,,,
Wear on Reels,https://rf4game.com/forum/index.php?/topic/267-levos-guide-wear-on-reels/,,,
Gear Setups and Choices,https://rf4game.com/forum/index.php?/topic/254-levos-guide-setup-suggestions/,,,
Spinning for Beginners,https://rf4game.com/forum/index.php?/topic/1583-spinning-for-beginners-basics-types-of-lures-retrieval-methods-and-ul,,,
Choosing a Lure For Predators,https://rf4game.com/forum/index.php?/topic/2537-guide-choose-the-right-lure,,,
Groundbait,https://rf4game.com/forum/index.php?/topic/2659-guide-groundbait-how-does-it-work/#comment-26048,,,
Weekly Records,https://rf4game.com/forum/index.php?/topic/2572-guide-weekly-records/,,,
,,,,
Player Guides,(May be Outdated but still contain good information or experience),,,
Beluga/Keluga Fishing,https://rf4game.com/forum/index.php?/topic/26290-how-to-fish-beluga-kaluga-guide/,,,
MDawg Long Form Leveling 2020,https://tinyurl.com/2k9e9cta,,,
MDawg Long Form Leveling 2022,https://tinyurl.com/4yvcdt6w,,,
Midnight Gaming With Mystic Nightmare's Tutorials,https://tinyurl.com/ycx4dkdx,,,
Lure Making Power Leveling,https://rf4game.com/forum/index.php?/topic/26191-guide-lure-making-power-leveling/,,,
Potryasovgame Infographics,https://imgur.com/a/RGyBHWv,,,
Potryasovgame Info,https://www.potryasovgame.online/,,,
,,,,
General Links,,,,
Chinese Reel Sheet Screenshot,https://imgur.com/a/7ycTJKe,,,
"Russian Reel Sheets (Some Upgrades are Shown, some are dead picture links)",https://docs.google.com/spreadsheets/d/1CXmisFvH-fydEp8imtq2dR3lhWfDi6YO4hWdiDCIGJU/edit#gid=0,,,
"Russian Reel Sheets (Some Upgrades are Shown, some are dead picture links)",https://docs.google.com/spreadsheets/d/1S0OIBsu4vMip8rZnt5sstnaqgfn4pqLv53O8aa_YByI/edit#gid=1417358208,,,
Russian RF4 Info Sheet,https://docs.google.com/spreadsheets/d/1fdvTuzDm7qW3DxefNZp9jCrq4FT8Id2dNcy1aD98oOc/edit#gid=1302971942,,,
Russian RF4 Spots Sheet,https://docs.google.com/spreadsheets/d/1AO01pumlRay88y2h-u_j0Wpzh_9ADT9ngwUjzawyl2U/edit#gid=5486229,,,
Unknown User RF4 Info Sheet,https://docs.google.com/spreadsheets/d/1r6pvdHpaFnoOrrq9e2nDV8HiOc4ScxD5fwp2eGAn6EY/edit#gid=0,,,
