Category,Brand ,Name ,Type ,Size,Mass,Min Allowed Hook Size,Max Allowed Hook Size,Depth,Components (Hooks) ,Restrictions,Rating (Stars), Price 
Lures,Syberia,Dragonfly long 1 001,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 002,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 003,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 004,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 005,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 006,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 007,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 1 008,Spinner,Small,4.05g,Tiny (20),Extra large (2/0),-,TRBHK101 S7,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.20 
Lures,Syberia,Dragonfly long 3 001,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 002,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 003,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 004,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 005,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 006,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 007,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly long 3 008,Spinner,Medium,9.8g,Tiny (20),Extra large (4/0),-,TRBHK101 S2,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  2.60 
Lures,Syberia,Dragonfly Original 1-001,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-002,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-003,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-004,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-005,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-006,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-007,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-008,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Original 1-009,Spinner,Small,2.9g,Tiny (20),Extra large (4/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  2.90 
Lures,Syberia,Dragonfly Stream 2-001,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly Stream 2-002,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly Stream 2-003,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly Stream 2-004,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
